"pixel no"	"mm" 	"pixel val" 	"dark frame"	"flat field"	"corrected"	"smoothed"
       277	     2,216	       946	     0,000	 65535,000	   -25,846	   -25,846
       278	     2,224	      1026	     0,000	 65535,000	    54,154	    54,154
       279	     2,232	       946	     0,000	 65535,000	   -25,846	   -25,846
       280	     2,240	       994	     0,000	 65535,000	    22,154	    22,154
       281	     2,248	       930	     0,000	 65535,000	   -41,846	   -41,846
       282	     2,256	       946	     0,000	 65535,000	   -25,846	   -25,846
       283	     2,264	       946	     0,000	 65535,000	   -25,846	   -25,846
       284	     2,272	       962	     0,000	 65535,000	    -9,846	    -9,846
       285	     2,280	       962	     0,000	 65535,000	    -9,846	    -9,846
       286	     2,288	       962	     0,000	 65535,000	    -9,846	    -9,846
       287	     2,296	       978	     0,000	 65535,000	     6,154	     6,154
       288	     2,304	       994	     0,000	 65535,000	    22,154	    22,154
       289	     2,312	       962	     0,000	 65535,000	    -9,846	    -9,846
       290	     2,320	       946	     0,000	 65535,000	   -25,846	   -25,846
       291	     2,328	       962	     0,000	 65535,000	    -9,846	    -9,846
       292	     2,336	       930	     0,000	 65535,000	   -41,846	   -41,846
       293	     2,344	       898	     0,000	 65535,000	   -73,846	   -73,846
       294	     2,352	       930	     0,000	 65535,000	   -41,846	   -41,846
       295	     2,360	       930	     0,000	 65535,000	   -41,846	   -41,846
       296	     2,368	       978	     0,000	 65535,000	     6,154	     6,154
       297	     2,376	       994	     0,000	 65535,000	    22,154	    22,154
       298	     2,384	       962	     0,000	 65535,000	    -9,846	    -9,846
       299	     2,392	      1010	     0,000	 65535,000	    38,154	    38,154
       300	     2,400	       994	     0,000	 65535,000	    22,154	    22,154
       301	     2,408	       930	     0,000	 65535,000	   -41,846	   -41,846
       302	     2,416	       914	     0,000	 65535,000	   -57,846	   -57,846
       303	     2,424	       962	     0,000	 65535,000	    -9,846	    -9,846
       304	     2,432	       946	     0,000	 65535,000	   -25,846	   -25,846
       305	     2,440	      1026	     0,000	 65535,000	    54,154	    54,154
       306	     2,448	       994	     0,000	 65535,000	    22,154	    22,154
       307	     2,456	       994	     0,000	 65535,000	    22,154	    22,154
       308	     2,464	      1010	     0,000	 65535,000	    38,154	    38,154
       309	     2,472	      1010	     0,000	 65535,000	    38,154	    38,154
       310	     2,480	      1026	     0,000	 65535,000	    54,154	    54,154
       311	     2,488	       946	     0,000	 65535,000	   -25,846	   -25,846
       312	     2,496	       930	     0,000	 65535,000	   -41,846	   -41,846
       313	     2,504	       930	     0,000	 65535,000	   -41,846	   -41,846
